Text,Boolean Questions
Public health and social measures are still effective against #COVID19 🦠variants. 😷 https://t.co/cGMk7kf7Kl,"['Is public health and social measures effective against covidiosis?', 'Is there a cure for covidiosis?', 'Is public health and social measures effective against covid19?']"
,
@ajumathew_ @muradbanaji @KurtadikarKetan @EricTopol @antonystanley09 Yup. I thought so. The B16.17 frequency was low back in March. And we know that AZ likely works on B117. So the anxiety remains ...,"['Is it possible to be on b117?', 'Is it possible to be on a b117?', 'Is there a difference in frequency of b1617?']"
,
"Ontario: Daily vaccinations (1st vs. 2nd dose)  1st: 17,928💉 2nd: 107,238💉💉  #FullyVaccinated #ontariovaccine  #ThisIsOurShotCA #OurWinningShot https://t.co/5XuI0Q6ecY","['Is there a 2nd dose of ontario vaccine?', 'Is it possible to get ontario vaccine?', 'Is there a difference between ontario and canada?']"
,
"102/ We may need to increase the vaccine dose and/or give additional doses, &amp; even that may not be enough to elicit a protective immune response in all patients who are highly immunosuppressed.    We need to remember that vaccines are one tool, but we'll need other tools, too.","['Is there such thing as a protective immune response?', 'Is there a vaccine for immunosuppressed patients?', 'Is there a vaccine for immunosuppressed people?']"
,
"All of these safety measures should be implemented: Consistent and correct mask use, increased ventilation of indoor spaces, physical distancing of at least three feet, hand-washing, cleaning of school spaces, quick action to find and stop spread from cases in schools. 12/","['Do you have to wash your hands at school?', 'Is it safe to wear a mask at school?', 'Do you have to wash your hands in school?']"
,
Join us today on Dr KK’s Medtalks at 7:00 PM for an important discussion on the prevention of suicide in the current scenario.   Just click on:-https://t.co/8RLrAHOfDf or https://t.co/Hczq8e02uA https://t.co/j9hz9s9qFp,"['Is there such a thing as suicidal thoughts?', 'Is it possible to commit suicide on medtalks?', 'Is there such a thing as suicide?']"
,
"7) On the issue of health insurance, others are raising the same questions as mine above… thanks @davidfrum. Who pays the bills of the going forward?    https://t.co/aJGFGs8rqY https://t.co/8AYvnCr7lR","['Is there such a thing as health insurance?', 'Is insurance the same as health insurance?', 'Is there a difference between health care and insurance?']"
,
5) for those crying “but but but my freedom”…. Here is some freedom for you… from #COVID19 https://t.co/JaBrlumOpP,"['Is there a difference between freedom and freedom?', 'Is there such a thing as free speech?', 'Is there such a thing as freedom in the bible?']"
,
"True, but it is so critical we all step up as one community to help each other and get vaccinated https://t.co/8RnCNwHy7k","['Is it true that you have to get vaccinated?', 'Is it possible to get vaccinated?', 'Is it true or false to get vaccinated?']"
,
Fox News has been pushing anti-vax hysteria. It’s dangerous &amp; immoral. Let’s not mince words: ➡️ “@FoxNews is helping kill Americans. #FoxNews has blood on its hands” ~@ProjectLincoln.     Tell @comcast @ATT @GetSpectrum @dish @Verizon #FoxNewsKills #COVID19  https://t.co/Ct6IZUAmXv,"['Does fox news have blood on its hands?', 'Is there such a thing as fox news?', 'Is fox news and verizon the same company?']"
,
"Through #COVAX we have highly effective distribution channels to reach lower-income countries, but we still need investments now to increase global vaccine manufacturing capacity so we’re better prepared for future pandemics. My take for @TIME: https://t.co/1ulMabimwt","['Is there a vaccine in every country?', 'Is there a vaccine in every country in the world?', 'Is there a vaccine in the world?']"
,
"Vaccinated family members of unvaccinated kids may err on the side of caution, especially in areas with high rates of Covid: wear a mask in indoor public places, increase ventilation, practice physical distancing, and avoid large gatherings with many unmasked people. 8/","['Do you have to be vaccinated to get covid?', 'Do you have to be vaccinated for covid?', 'Is it safe to wear a mask in public?']"
,
"The science behind consuming turmeric milk during #COVID19   Note: To honour Dr KK Aggarwal's service to the community, HCFI Dr KK Research Fund &amp; MedTalks will continue to bring you healthcare updates including his recorded videos &amp; fresh content by the leading medical experts. https://t.co/8n6p8tyuWz","['Is turmeric milk the same as curcumin milk?', 'Is turmeric milk the same as milk?', 'Is curcumin milk the same as turmeric milk?']"
,
13) “Masking and social distancing —even among those fully vaccinated— may be necessary among persons with frequent exposure in Gamma variant–endemic zones.”,"['Is it possible to be vaccinated against gamma variant?', 'Is there such thing as a gamma variant?', 'Is it true or false to be a gamma variant?']"
,
@EricTopol and others: Do we have data that the AZ vaccine is effective against the Indian variant ? Against severe disease ? What about Covaxin? It would be gratifying if AZ was effective (esp against severe dz) given that it’s being widely used in India and sent as relief.,"['Is the az vaccine effective against severe disease?', 'Is the aza vaccine effective against severe dz?', 'Is az vaccine effective against severe dz?']"
,
Death demographics: 10 new deaths  &lt;19: 0  20-39: 1  40-59: 1  60-79: 9  80+: (-1)    https://t.co/B5OhyDmO9x https://t.co/Mn2tNaSSYE,"['Is there a difference between true and false death rates?', 'Is there a difference between true or false death rates?', 'Is there a difference between true and false deaths?']"
,
1/n The anecdotal stories about the number of people in India getting COVID after AZ or Covaxin need to be addressed.,"['Is there such a thing as covaxin?', 'Is there a cure for covaxin in india?', 'Is there such a thing as covaxin in india?']"
,
"Too many people suffer because of avoidable prescription of, and addiction to, opiates in dental and other health care. https://t.co/fC8V9qQByn","['Is it possible to be addicted to opiates?', 'Is there such a thing as an opiate addiction?', 'Is there such a thing as opiates in dentistry?']"
,
"The Delta-fueled spread of Covid in Africa is alarming. In Uganda, the Delta variant was detected in 97% of samples. The world has failed to supply vaccines and millions of people across the continent are at serious risk of infection.","['Is there a vaccine for covid in africa?', 'Is there a vaccine for covid in uganda?', 'Is there such a thing as covid in africa?']"
,
"Great #COVAX initiative, offering one neat solution to the supply chain bottlenecks we’re seeing with #COVID19 vaccine raw materials and supplies. We need to leave no stone unturned in the effort to boost global vaccine supply. #OneWorldProtected. https://t.co/sb4AakVu2V","['Is there a supply chain for covax vaccine?', 'Is there a difference between true and false vaccines?', 'Is there a supply chain for covacx vaccine?']"
,
"Vaccination isn’t perfectly effective, and yes, there is still a (greatly reduced) risk of long COVID, but...    This shows the difference between life and death. Vaccines save lives. #VaccinesWork https://t.co/0SBy23boYC","['Is it possible to get vaccinated against cov?', 'Can you get vaccinated against covington disease?', 'Can you get vaccinated against covid?']"
,
"RT @LEAD_Coalition: #Covid19 leads to brain changes &amp; #Alzheimers-like #dementia, new #AI-powered study finds https://t.co/hon9f4tUgM   #Ar…","[""Is there such a thing as alzheimer's?"", 'Is there such a thing as alzheimers?', 'Is there such a thing as cognitive decline?']"
,
"After SARS-CoV-2 spike binds ACE2 and enters a cell to begin the infection process, it's taken up into a specialized membrane-bound compartment called an endosome. There, spike is cleaved and this allows the fusion peptide to fuse with the endosomal membrane.  h/t @ConversationEDU https://t.co/6OsEMFa4fC","['Does sars-cov-2 spike bind to ace2?', 'Does sars cov-2 spike bind to ace2?', 'Does sars-cov-2 spike bind to ace2?']"
,
Thank you President @vonderleyen and #TeamEurope for this vital commitment to share #COVID19 vaccines with #COVAX! We look forward to ensuring these doses reach the world’s most vulnerable. #OneWorldProtected https://t.co/asMX2b8VQ7,"['Is the covax vaccine true or false?', 'Is covax the same as covid19?', 'Is the covacx vaccine true or false?']"
,
17) Some others say “oh it’s a smaller dataset than UK”—yeah but it’s still VERY significant. Notice how the 95% confidence intervals’ lower bounds all exclude zero—and by comfortable cushion of certainly. And the 40% VE’s upper bound excludes 88% from 🏴󠁧󠁢󠁥󠁮󠁧󠁿 data. So these are diff. https://t.co/PQ3iH8I4Ub,"['Is 95% confidence intervals true or false?', 'Is the 95% confidence interval true or false?', 'Is the 95% confidence intervals true or false?']"
,
2/n another one is https://t.co/rCyN0t9A1e,"['Is there such thing as a true story?', 'Is there a difference between true and false?', 'Is there such thing as a true love story?']"
,
Let’s understand the manifestations of #COVID19 infection post vaccination. Do not ignore warning signals/ symptoms. https://t.co/vogBQPdoCq,"['Is there such a thing as covid19?', 'Is there such a thing as covid19?', 'Is there such a thing as covid19?']"
,
"Ten hours after vaccine and I feel GREAT. Arm a little sore but nothing else. Mostly, feel thankful. No fever, no myalgia.","['Is there a fever after getting vaccinated?', 'Is there a fever after the vaccination?', 'Is there a fever after vaccination?']"
,
Delta variant is spreading fast. It is more transmissible but so far it does not seem more virulent https://t.co/IO0vupsvEP,"['Is delta variant the same as delta virus?', 'Is delta variant the same as delta strain?', 'Is delta variant the same as false variant?']"
,
"Many nations are in a position to share surplus doses. We have seen some vital commitments to donate or share doses but #COVAX, the world’s best hope of ending the pandemic still urgently needs more: https://t.co/GXJwSWjevW @DrRHatchett, @DrTedros, @unicefchief","['Is there such a thing as covax?', 'Is there a cure for covax?', 'Is there a cure for covax in the world?']"
,
Can a Covid vaccinated person be given the rabies vaccine for dog bite? https://t.co/3uUPhmRGGV,"['Can you get rabies from a dog bite?', 'Can you get rabies vaccine from a dog bite?', 'Can you get the rabies vaccine from a dog bite?']"
,
"The PCV vaccine is one of our best weapons against the single biggest killer of children under 5. Reducing the incidence of severe pneumococcal pneumonia, sepsis and meningitis in children in The Gambia by 80% is incredible proof that #VaccinesWork! #LeaveNoOneBehind https://t.co/QrmwOpvWBw","['Is the pcv vaccine a cure for pneumonia?', 'Is the pcv vaccine the biggest killer in the world?', 'Is the pcv vaccine the only vaccine against pneumonia?']"
,
"Have you got your COVID-19 vaccine dose yet? Join us today on MEDtalks with Dr K K Aggarwal COVID edition, at 7:00 PM as we discuss more about the vaccine with Padma Shri Ashok Chakradhar. Just click on https://t.co/yGKyu4uWQS https://t.co/rtMSiHTpCm","['Is there a vaccine for covid-19?', 'Is there a vaccine for covid-19?', 'Is the covid-19 vaccine true or false?']"
,
Great to talk to @MichelSidibe @_AfricanUnion special envoy for the African Medical Agency on some of the critical parameters for success including those needed for vaccines!  #VaccinesWork https://t.co/03Fhxrq7dN,"['Is it possible to get a vaccine in africa?', 'Is there a vaccine in africa?', 'Is it possible to get vaccines in africa?']"
,
"*Cases under-reported: Not all infected persons tested. Cases after 1pm yesterday not included until tmr's count.    ""Resolved"" = 14d after symptom onset if not hospitalized/deceased, not accounting for complications.  Source: https://t.co/9UBjYKWgQ7","['Is there such a thing as an infected person?', 'Is there a chance of being infected?', 'Is it possible to be infected with strep throat?']"
,
"3) “Psychosocial and economic support can help families to nurture children bereft of caregivers and help to ensure that institutionalisation is avoided. These data show the need for an additional pillar of our response: prevent, detect, respond, and care for children.”","['Is psychosocial support the same as economic support?', 'Is psychosocial support the same as psychological support?', 'Is psychosocial and economic support the same as psychological support?']"
,
2/2 Drive through sites and complex scheduling are causing bottlenecks. Solve these first...increase PSAs to assure people of safety.. and issue and use vaccine passports to incentivize vaccination.,"['Do you need a passport to get vaccinated?', 'Do i need a passport to get vaccinated?', 'Is it legal to have a vaccination passport?']"
,
"Sometimes it can be hard to determine whether Covid was the true cause of death in patients receiving palliative care or already very ill, which complicates our understanding of the impact of breakthrough infections in certain groups. https://t.co/dbfNwK60uF 13/","['Is covid the cause of death in palliative care?', 'Can covid be the cause of death in palliative care?', 'Is covid the true cause of death in palliative care?']"
,
"Vaccines will save tens of thousands of lives but are not 100%. They provide great protection, not perfect protection. More cases → more breakthrough infections. Breakthrough infections are expected, but vaccines drastically reduce risk of hospitalization &amp; death from Covid. 9/","['Can a vaccine save tens of thousands of lives?', 'Is a covid vaccine 100% effective?', 'Can a vaccine be 100% effective against covid?']"
,
"3/3 Why get vaccinated if you are young and healthy ? Because we SUSPECT (but don't know) that you will be protected from the other strains (eg P1), and have mild disease, as opposed to being stuck in a hospital or ICU","['Do you have to get vaccinated against p1?', 'Do you have to be vaccinated against p1?', 'Do you have to be vaccinated against polio?']"
,
@joshuetree I'd expect a negative correlation between vaccination rates and case counts. We're already seeing this to some degree (this is across states with this week's data). https://t.co/OxC0yWzRQs,"['Is there a correlation between vaccination rates and case counts?', 'Is there a correlation between vaccination rate and case count?', 'Is there a correlation between vaccination rates and case count?']"
,
"As we enter a new beginning in the US, in the midst of a ongoing pandemic, we can't forget that cancer still causes pain &amp; suffering in so many. #CancerMoonshot2.0 is needed! We have to make more progress. https://t.co/bSetGZGLTi @TheLancetOncol @TheLancet @POTUS","['Is there a cure for cancer?', 'Is there still cancer in the united states?', 'Is there such a thing as cancer cancer?']"
,
#COVID19 variants are a wake up call to vaccinate the world. Leaving countries behind only gives the virus more chance to mutate and increases the threat to all of us. Let #COVAX deliver to halt the rise of variants: https://t.co/sKHvXRvRP4 Via @NikkeiAsia,"['Do you have to be vaccinated against covid19?', 'Do you have to be vaccinated against covax?', 'Is the covax virus a true or false virus?']"
,
RT @ChristiAnne67: Traumatized Arkansas hospital workers https://t.co/Yw7vLNdrLR struggle as COVID surges among unvaccinated  #Arkansas 😷 #…,"['Is there such a thing as cov in arkansas?', 'Is there such a thing as covid in arkansas?', 'Is there a cure for covd in arkansas?']"
,
6) Insurance actuaries and demographers know when pandemic mass deaths are becoming a crisis… CDC demographers are now also shell shocked at the mortality data… https://t.co/VDT9rjyqOe,"['Is the death rate from a pandemic true or false?', 'Is the death toll from a pandemic true or false?', 'Is it true or false that there is a pandemic?']"
,
"The pilot (https://t.co/nxIgxlgWjF) makes vaccination time about 4 mins, issues a digital passport, encrypted and lets YOU choose a vaccine appointment. The data is all uploaded and searchable. Here are firefighters getting vaccine in the pilot phase https://t.co/FP7nAYmKzj","['Is there a vaccine in the firefighter pilot?', 'Is there a vaccine in the fire department?', 'Is there a vaccine for firefighters in the pilot?']"
,
"In this pivotal moment in the fight against #COVID19, Friday’s @G7 summit is the time to commit to donate COVID-19 vaccines to lower-income countries, and urgently. It’s an opportunity the world can’t afford to miss: https://t.co/MN9PLydDbt #ShareDosesNow @UNICEF @unicefchief","['Is there a vaccine for covid 19?', 'Is there a vaccine for covid 19?', 'Is there a vaccine for coccy19?']"
,
"67/ While the Pfizer &amp; Moderna vaccines retain significant neutralizing antibody activity against the variants of concern 80-90 days after vaccination, the J&amp;J vaccine does not.  https://t.co/ZQEfHMG6Sl https://t.co/NekamkHxay","['Is the j&j vaccine true or false?', 'Is a j&j vaccine true or false?', 'Is the j&j vaccine a true or false vaccine?']"
,
"If we assess probability exists, or rate as high, likelihood it came out of a lab; we must put security of BSL3/4 labs and greater supervision of high end research (and publication of dangerous synthetic sequences) much higher on list of priorities for international governance.","['Is it possible for bsl3 to come out of a lab?', 'Is it possible for a sequence to come out of the lab?', 'Is it possible for a gene to come out of the lab?']"
,
"Delta may or may not be more deadly on a case-by-case basis, but because there are so many more cases, more people will get very sick, and more will die. 3/","['Is delta the same as delta delta?', 'Is delta and delta delta the same thing?', 'Is delta the same as delta delta?']"
,
"25/ While the amount of antibody produced decreases over time, the quality of these antibodies increases.    Neutralizing antibody titers reflect both quantity &amp; quality.","['Is the amount of neutralizing antibody the same as the quality?', 'Is there such a thing as neutralizing antibody?', 'Is there a difference in quality of neutralizing antibody?']"
,
@MrQuantity @CreatePerhaps @BreezerGalway @Theonew16516042 @PerhapsABot @lotsof_gas @barryjohnreid21 @Awithonelison @snorman1776 @Trish_Crain You mean these guidelines from the @WHO that say mask wearing reduces transmission of COVID? https://t.co/683AeHkTKr,"['Does wearing a mask reduce the risk of cov?', 'Do you have to wear a mask to prevent cov?', 'Does wearing a mask increase the risk of cov?']"
,
"85/   Circles: two weeks after 2nd dose of Pfizer  Triangles: 4 weeks after 2nd dose of Pfizer    There’s a drop in neutralizing antibody titers against Delta versus the wildtype, but titers are still well above the limit of detection.  https://t.co/7HokeyZFQd https://t.co/nVaUyc4NFL","['Does pfizer triangles work against delta delta?', 'Does pfizer triangles work on delta delta?', 'Do pfizer triangles work on delta delta?']"
,
4) My god Mexico 🇲🇽 and Brazil 🇧🇷 have a lot of kids orphaned by #COVID19. South Africa 🇿🇦 and the US 🇺🇸 too! 😢 https://t.co/5mWF6NQXNi https://t.co/V10R5S2Egf,"['Are there any orphans in brazil?', 'Is there a difference between us and mexico?', 'Is there a difference between us and us?']"
,
3) they say late is better than never… but sometimes I worry if too late is almost as bad… https://t.co/ezbTZpt7BL,"['Is it true that it is better to be late than never?', ""Is it true that it's better to be late than never?"", 'Is it true that it is always better to be late than never?']"
,
France’s decision to recognize @SerumInstIndia’s Covishield vaccine is a step in the right direction. #COVAX calls on all nations &amp; regions to approach all WHO &amp; SRA-validated vaccines the same way to avoid further widening the global vaccine divide &amp; exacerbating inequities: https://t.co/06glQ5DXrt,"['Is the covishield vaccine true or false?', 'Is there a vaccine for covishield in india?', 'Is there a vaccine for covishield?']"
,
"Variants of concern (VOC) in Ontario  ""Includes B.1.617.2 cases identified by genomic analysis. Mutations common to B.1.617.2 are not included in the current VOC mutation test.""  Source: https://t.co/9coXf5Og1m https://t.co/7zLX2SNWt7","['Is it possible to have a b.1.617.2 mutation?', 'Is b.1.617.2 the same as variants of concern?', 'Is b.1.617.2 the same as voc?']"
,
Ontario #CovidVaccine progress📈💪🏻💉  All Ontarians aged 12+ are now eligible to book an appointment to receive their 2nd dose.  Book here! https://t.co/dd7uJqdNs5 #ontariovaccine https://t.co/4Qu0pQUmL3,"['Is the covid vaccine true or false in ontario?', 'Is there a 2nd dose of ontario covid vaccine?', 'Is it possible to get a covid vaccine in ontario?']"
,
My mom !!! A covid hero... ventured out by herself and is vaccinated https://t.co/fvS7RFIXOd,"['Is there such thing as a covid hero?', 'Is she a covid hero?', 'Is there such thing as a covid heroine?']"
,
63/ Neutralizing antibody titers to the variants were lower than for the early strains at both 1 months and 8 months after vaccination.  This was most pronounced vs Beta with a reduction of 13x at 1 month &amp; 3x at 8 months versus the early strains.  https://t.co/nkBp66XMoL https://t.co/BQoHR6wovT,"['Is there a difference between beta and beta strain?', 'Is there a difference between early and late strains?', 'Is there a difference between the early and late strains?']"
,
Thank you Dr @daktari1 for your ongoing support for #COVAX during the largest vaccine rollout in history! https://t.co/fFaJPosFBu,"['Is the covax vaccine true or false?', 'Is the covacx vaccine true or false?', 'Is the flu a true or false vaccine?']"
,
3) “Until we recognise that #COVID19 is airborne we are setting ourselves up for repeated failure”  https://t.co/9PsxREPS2G,"['Is it possible for us to be airborne?', 'Is it possible to be airborne with covid19?', 'Is it possible to be airborne with covid19?']"
,
Evaluate the 5 cognitive functions for a better understanding of your neurological health.   Mild cognitive impairment (MIC) may increase the risk of dementia or other neurological conditions but some people with MIC never get worse &amp; a few eventually get better.  -Dr KK’s HCFI https://t.co/QCh4vfpkKH,"['Is there such a thing as mild cognitive impairment?', 'Is there a difference between mild cognitive impairment and dementia?', 'Is mild cognitive impairment the same as dementia?']"
,
@Danish33414421 @PedroFacon @mdc_martinus It’s for airborne coronavirus. Pedro is Belgium’s COVID czar.,"['Is there a cure for coronavirus in belgium?', 'Is there an airborne coronavirus in belgium?', 'Is there such a thing as coronavirus?']"
,
#COVAX has signed deals for a total of 2.8B doses through 2022 &amp; has access to more doses if further financing is available. The supply forecast will continue to evolve but this latest publication provides key insights: https://t.co/0xyAZLCzYk @Gavi @CEPIvaccines @WHO @UNICEF,"['Is there going to be more covax vaccines?', 'Will there be more covax vaccines in the future?', 'Is there a shortage of covax vaccines?']"
,
Death is not the only negative consequence of having COVID-19.    Please get vaccinated. Vaccines work. https://t.co/vKM0Jneed7,"['Is it possible to die from covid-19?', 'Do you have to get vaccinated against covid-19?', 'Is there such a thing as covid-19?']"
,
Death demographics: 7 new deaths  &lt;19: 0  20-39: 1  40-59: 3  60-79: 0  80+: 3    https://t.co/9coXf5Og1m https://t.co/ZL6nSyN76C,"['Is there a difference between 20 and 39?', 'Is there a difference in age between 40 and 49?', 'Is there such a thing as an 80 year old?']"
,
"Q &amp; A on the vaccine - allergy situation. Bottom line is that it is real, and we have to learn more, but is treatable and shouldn't hamper vaccination efforts. https://t.co/uakWfnRAM3","['Is there such a thing as an allergy?', 'Is there such a thing as an allergy to the flu vaccine?', 'Is there such a thing as an allergy to the vaccine?']"
,
RT @SolNataMD: This is what healthcare system looks like:  ❌ICU consult from hospital lobby bs no ER beds ❌covid test ordered by ER but not…,"['Is there an icu in the nhs?', 'Is there an icu in the hs system?', 'Is there an icu in a hospital?']"
,
"Recipe for increase #COVID19 transmission: large mass gathering of people shouting, singing or exercising. Football linked to 2,000 Scottish Covid cases - BBC News https://t.co/cxC305VTnP","['Are there any covid cases in scotland?', 'Is there such a thing as covid19?', 'Are there any covid cases in the uk?']"
,
"5) Yes, change is hopefully coming soon. But @CDCgov needs to signal there is a change soon. Not just sit on their hands! https://t.co/w0vapKFR8b","['Is there going to be a change in the cdc?', 'Is there going to be a change in the health care system?', 'Is there going to be a change in health care?']"
,
"With dose donations continuing to ramp up, more vaccine deals agreed and deliveries continuing across the world, #COVAX #AfricanUnion #AfricanCDC #AVAT are working hard to address the vaccine inequity we are seeing across the continent.","['Is there a difference between true and false vaccines?', 'Is there a difference between true or false vaccines?', 'Is there a vaccine in every country in the world?']"
,
"⚠️ANOTHER EFFICACY DROP—Not good—Israel 🇮🇱 Ministry of Health just released another vaccine efficacy update due to #DeltaVariant—only 39% Pfizer VE for #COVID19 infection, 40.5% for symptomatic, 88% for hospitalization, 91% for ICU/low oxygen/ death. More—waning efficacy too—🧵 https://t.co/UuVbVGC1Hp","['Does the deltaariant vaccine work in israel?', 'Is there a vaccine for covid19 in israel?', 'Is pfizer ve the same as deltaariant?']"
,
"9) “Just over two weeks out from the Fourth of July holiday, the number of patients with COVID-19 in Alabama hospitals has more than doubled. Nearly every metric used to measure the pandemic is surging here"" https://t.co/u44loC50I1 https://t.co/oHM4ALzD6u","['Is there a pandemic of covid-19 in the united states?', 'Is there a pandemic of covid-19 in alaska?', 'Is there a pandemic of covidiosis in america?']"
,
8) What could come next? The @CDCgov doesn’t seem to really know. Their 26 different projection models are all over the place. @ScottGottliebMD is right that the “CDC doesn’t know how to model this wave” of #DeltaVariant. https://t.co/4l4MgUfr9D,"['Does the cdc have a model for delta vietnam?', 'Is there going to be a deltaariant wave?', 'Does the cdc have a model of delta vietnam?']"
,
"*Cases under-reported: Not all infected persons tested. Cases after 1pm yesterday not included until tmr's count.    ""Resolved"" = 14d after symptom onset if not hospitalized/deceased, not accounting for complications.  Source: https://t.co/9UBjYKWgQ7","['Is there such a thing as an infected person?', 'Is there a chance of being infected?', 'Is it possible to be infected with strep throat?']"
,
"Long Covid symptoms, including fatigue, shortness of breath, brain fog, and sleeping problems can last at least a year for some patients—and cause major disruption to their lives. https://t.co/mexduBBU9z","['Is there such a thing as long covid?', 'Can long covid symptoms last for years?', 'Can long covid symptoms last for a year?']"
,
"RT @ASSOCHAM4India: While the Government is making sure that each one of us will get vaccinated, until then protecting oneself is the only…","['Is it possible to get vaccinated in india?', 'Is it illegal to not get vaccinated in india?', 'Is it illegal to get vaccinated in india?']"
,
96/ We know that solid organ transplant recipients do not seem to respond as well to COVID vaccination.  https://t.co/qAllff4f7G  Severe COVID cases have been observed among solid-organ transplant recipients who have received 2 doses of mRNA vaccine.  https://t.co/AyOeMOmRzo https://t.co/bXFdOHzwQE,"['Is there such a thing as solid organ transplant?', 'Do solid organ transplant recipients respond well to covid?', 'Is there such a thing as solid organ transplants?']"
,
"Variants of concern (VOC) in Ontario  ""Includes B.1.617.2 cases identified by genomic analysis. Mutations common to B.1.617.2 are not included in the current VOC mutation test.""  Source: https://t.co/iTZw1sLmSr https://t.co/1xUWVkTK1U","['Is b.1.617.2 a variant of concern in ontario?', 'Is there a variant of concern in ontario?', 'Is b.1.617.2 the same as voc?']"
,
99/ The healthy controls were mostly HCWs and were significantly younger than the other 2 groups.  The horizontal line is the median neutralizing antibody titer for each group.    https://t.co/2erFM1YoLz https://t.co/jDG2wG9Ygx,"['Is the median neutralizing antibody titer for healthy controls the same?', 'Is there a difference between healthy and healthy controls?', 'Is the median titer of neutralizing antibody true or false?']"
,
"Another public health crisis in the making: those suffering from long COVID    Factoring in new infections in unvaccinated people, this NEJM study highlights the expectation of more than 15 million cases of long Covid resulting from this pandemic.    https://t.co/mTmTz5ILjk","['Is there such a thing as long covid?', 'Is there such a thing as covid?', 'Is there a pandemic of covid?']"
,
"A rebound of other viral respiratory diseases after being suppressed for a year.    Respiratory syncytial virus (RSV) in Australia, NZ, &amp; Japan for example. 👇    Also, RSV is sometimes mischaracterized as a disease only of children...it affects elderly too.     https://t.co/ui4K4HzocF https://t.co/5BARzpYFXF https://t.co/wkrZe5Ktly","['Is respiratory syncytial virus the same as rsv?', 'Is rsv the same as respiratory syncytial virus?', 'Is there such a thing as respiratory syncytial virus?']"
,
The Delta variant is much more infectious than previous Covid strains. It shortens the fuse between the beginning of spread and explosive spread. https://t.co/1ZhoeIlG1b,"['Is delta the same as covid?', 'Is delta covid the same as delta delta?', 'Is delta and covid the same strain?']"
,
Many vaccinated people are frightened about new waves of Covid as Delta spreads. But fully vaccinated people aren't the ones in Delta’s dead path—unvaccinated people are. The surest way to beat Delta and save lives is by expanding vaccination. https://t.co/cZQ5v96P6G,"['Is it safe to get vaccinated against delta?', 'Is it safe to be vaccinated against delta?', 'Is it possible to get vaccinated against delta?']"
,
"Yes, there is a chance you can transmit the virus- but will be much less than if you weren't vaccinated https://t.co/DrncHA0fLY","['Do you have to be vaccinated against swine flu?', 'Do you have to be vaccinated against the flu?', 'Do you have to be vaccinated against the swine flu?']"
,
"@jimcramer We’ve discussed on CNBC for a while now that a lot of Asian nations would become more vulnerable than the U.S. because of a combination of 1) less vaccination, 2) much less natural immunity from previous spread 3) less effective vaccines (China).","['Is there a difference between us and china?', 'Is there a difference between the us and china?', 'Is there a difference between us and asia?']"
,
#COVID19 testing in #Ontario   - PHO % positive 0.9% (pink)  - Calculated % pos 0.9% (orange)  - Testing: 13586/day (green)  - Under investigation: 7994 today (red)  #COVID19Ontario #CovidTesting #onpoli https://t.co/NRlUYkpw4J,"['Is there a phh positive in ontario?', 'Is phh positive in ontario?', 'Is the phh positive in ontario?']"
,
"We can prevent 100,000+ more deaths from Covid in the US and 10 million globally by expanding vaccination. https://t.co/zSfCQ0BmOC","['Is there such a thing as covid vaccination?', 'Is there a vaccine for covid in the us?', 'Is there such a thing as covid vaccine?']"
,
WHO says delta is the fastest and fittest Covid variant and will 'pick off' most vulnerable https://t.co/2YcB5dy8aq,"['Is delta the fastest covid variant?', 'Is delta the fastest and fittest covid variant?', 'Is delta one of the fastest covid variants?']"
,
"Feeling anxious? Learn how to balance your mind and stay calm!  Note: To honour Dr KK’s service to the community, HCFI Dr KK Research Fund &amp; MedTalks will continue to bring you healthcare updates including his valuable recorded videos &amp; fresh content by leading medical experts. https://t.co/tJl6OcSbvC","['Is there a difference between true and false?', 'Is dr kohn a true or false doctor?', 'Is dr ksh a true or false doctor?']"
,
"2/2 Nicely done. Two more charts with the R0 and likely (note “likely”) decreasing ejected viral inoculum post vaccination (and masking) — less virus out, less virus in — and we might have COVID in 4 crayon charts...@profshanecrotty","['Is there a difference between r0 and covid?', 'Is there a difference between cov and r0?', 'Is there a difference between covid and r0?']"
,
"RT @DrEricDing: Hospitalized guy refuses to get vaccinated—asked further if he would have wanted to prevent his #COVID19 hospitalization, h…","['Is it true that a man refuses to get vaccinated?', 'Is it true that a man is not vaccinated?', 'Do you get vaccinated in california?']"
,
@TechDecoder1 Please visit our free online OPD for medical guidance via zoom to seek help from COVID-19 experts.  Zoom ID 84290921517,"['Is opd the same as false or true?', 'Is opd the same as true or false?', 'Is the opd the same as true or false?']"
,
"1/2 To everyone who had more questions after Fareed Zakaria’s amazing interview CNN on COVID in LIC, there is a more full dissection here:     https://t.co/hZXJuNygAb","[""Is there a link to fareed zakaria's interview?"", 'Is the interview with fareed zakaria a true story?', 'Is the interview with fareed zakaria true?']"
,
"18/n If the situation worsens (how can it worsen?), contemplate a 2 week nationwide lockdown AS A LAST RESORT. Plan in that case to provide human services to migrants PROSPECTIVELY, again by appointing a commission NOW, not after","['Is there a 2 week nationwide lockdown?', 'Is a 2 week lockdown the last resort?', 'Is a 2 week lockdown the last thing?']"
,
"Sorry for the confusion. The contents of the syringe or the stress of a shot can both cause the symptoms of fainting, nausea, etc. https://t.co/zgmhEGNul5","['Is it possible to faint with a syringe?', 'Is it possible to faint from a syringe?', 'Can a syringe cause nausea?']"
,
